record_date,unit_price_calculated,weight_grams,moving_average
2022-09-02,18.80952380952381,840.0,19.0
2022-09-03,18.80952380952381,840.0,18.976190476190474
2022-09-03,18.80952380952381,840.0,18.952380952380953
2022-09-04,18.80952380952381,840.0,18.928571428571427
2022-09-04,18.80952380952381,840.0,18.904761904761905
2022-09-05,18.80952380952381,840.0,18.880952380952383
2022-09-05,18.80952380952381,840.0,18.857142857142858
2022-09-09,19.047619047619047,840.0,18.857142857142858
2022-09-09,19.047619047619047,840.0,18.857142857142858
2022-09-12,19.047619047619047,840.0,18.880952380952383
2022-09-12,19.047619047619047,840.0,18.904761904761905
2022-09-13,19.047619047619047,840.0,18.928571428571427
2022-09-13,19.047619047619047,840.0,18.952380952380953
2022-09-16,19.047619047619047,840.0,18.976190476190474
2022-09-16,19.047619047619047,840.0,19.0
2022-09-18,19.047619047619047,840.0,19.023809523809526
2022-09-18,19.047619047619047,840.0,19.047619047619047
2022-09-20,19.047619047619047,840.0,19.047619047619047
2022-09-20,19.047619047619047,840.0,19.047619047619047
2022-09-24,19.047619047619047,840.0,19.047619047619047
2022-09-24,19.047619047619047,840.0,19.047619047619047
2022-09-25,19.047619047619047,840.0,19.047619047619047
2022-09-25,19.047619047619047,840.0,19.047619047619047
2022-09-28,18.80952380952381,840.0,19.023809523809526
2022-09-28,18.80952380952381,840.0,19.0
2022-09-29,18.80952380952381,840.0,18.976190476190474
2022-09-29,18.80952380952381,840.0,18.952380952380953
2022-10-03,18.80952380952381,840.0,18.928571428571427
2022-10-03,18.80952380952381,840.0,18.904761904761905
2022-10-10,18.80952380952381,840.0,18.880952380952383
2022-10-10,18.80952380952381,840.0,18.857142857142858
2022-10-15,18.80952380952381,840.0,18.833333333333336
2022-10-15,18.80952380952381,840.0,18.80952380952381
2022-10-16,18.80952380952381,840.0,18.80952380952381
2022-10-16,18.80952380952381,840.0,18.80952380952381
2022-10-17,18.80952380952381,840.0,18.80952380952381
2022-10-17,18.80952380952381,840.0,18.80952380952381
2022-10-19,18.80952380952381,840.0,18.80952380952381
2022-10-19,18.80952380952381,840.0,18.80952380952381
2022-11-04,18.80952380952381,840.0,18.80952380952381
2022-11-04,18.80952380952381,840.0,18.80952380952381
2022-11-07,18.80952380952381,840.0,18.80952380952381
2022-11-07,18.80952380952381,840.0,18.80952380952381
2022-11-19,19.047619047619047,840.0,18.833333333333336
2022-11-19,19.047619047619047,840.0,18.857142857142858
2022-11-21,19.047619047619047,840.0,18.880952380952383
2022-11-21,19.047619047619047,840.0,18.904761904761905
2022-11-23,19.047619047619047,840.0,18.928571428571427
2022-11-23,19.047619047619047,840.0,18.952380952380953
2022-12-08,19.047619047619047,840.0,18.976190476190474
2022-12-08,19.047619047619047,840.0,19.0
2022-12-10,19.047619047619047,840.0,19.023809523809526
2022-12-10,19.047619047619047,840.0,19.047619047619047
2022-12-11,19.047619047619047,840.0,19.047619047619047
2022-12-11,19.047619047619047,840.0,19.047619047619047
2022-12-12,19.047619047619047,840.0,19.047619047619047
2022-12-12,19.047619047619047,840.0,19.047619047619047
2022-12-21,19.047619047619047,840.0,19.047619047619047
2022-12-21,19.047619047619047,840.0,19.047619047619047
2022-12-30,19.047619047619047,840.0,19.047619047619047
2022-12-30,19.047619047619047,840.0,19.047619047619047
2023-01-06,18.80952380952381,840.0,19.023809523809526
2023-01-06,18.80952380952381,840.0,19.0
2023-01-09,18.80952380952381,840.0,18.976190476190474
2023-01-09,18.80952380952381,840.0,18.952380952380953
2023-01-14,18.80952380952381,840.0,18.928571428571427
2023-01-14,18.80952380952381,840.0,18.904761904761905
2023-01-28,18.80952380952381,840.0,18.880952380952383
2023-01-28,18.80952380952381,840.0,18.857142857142858
2023-01-31,18.80952380952381,840.0,18.833333333333336
2023-01-31,18.80952380952381,840.0,18.80952380952381
2023-02-09,19.047619047619047,840.0,18.833333333333336
2023-02-09,19.047619047619047,840.0,18.857142857142858
2023-02-10,19.047619047619047,840.0,18.880952380952383
2023-02-10,19.047619047619047,840.0,18.904761904761905
2023-02-27,19.047619047619047,840.0,18.928571428571427
2023-02-27,19.047619047619047,840.0,18.952380952380953
2023-03-21,19.047619047619047,840.0,18.976190476190474
2023-03-21,19.047619047619047,840.0,19.0
2023-03-24,19.047619047619047,840.0,19.023809523809526
2023-03-24,19.047619047619047,840.0,19.047619047619047
2023-03-26,19.047619047619047,840.0,19.047619047619047
2023-03-26,19.047619047619047,840.0,19.047619047619047
2023-03-28,19.047619047619047,840.0,19.047619047619047
2023-03-28,19.047619047619047,840.0,19.047619047619047
2023-03-29,19.047619047619047,840.0,19.047619047619047
2023-03-29,19.047619047619047,840.0,19.047619047619047
2023-04-02,18.80952380952381,840.0,19.023809523809526
2023-04-02,18.80952380952381,840.0,19.0
2023-04-04,18.80952380952381,840.0,18.976190476190474
2023-04-04,18.80952380952381,840.0,18.952380952380953
2023-04-05,18.80952380952381,840.0,18.928571428571427
2023-04-05,18.80952380952381,840.0,18.904761904761905
2023-04-09,19.047619047619047,840.0,18.904761904761905
2023-04-09,19.047619047619047,840.0,18.904761904761905
2023-04-16,19.047619047619047,840.0,18.904761904761905
2023-04-16,19.047619047619047,840.0,18.904761904761905
